nan,nan_1,nan_2,nan_3,nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,nan_12,nan_13,nan_14,nan_15,nan_16,nan_17,nan_18,nan_19,nan_20,nan_21,nan_22,nan_23,nan_24,nan_25,nan_26,nan_27,nan_28,nan_29,nan_30,nan_31,nan_32,nan_33,nan_34,nan_35,nan_36,nan_37
Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-075,One time Project,nan,Completed,2025-09-27 00:00:00,2025-10-29 00:00:00,Purchase Order,2025-05-31 00:00:00,2025-06-03 00:00:00,OWNER_003,Mining,Raw images/videography,NONE,2026-01-14 00:00:00,SDPL/FY25-26/916,264398.08,311989.7344,nan,0,nan,264398.08,311989.7344,0,nan,nan,5360 HA,nan,5360,nan,nan,nan,nan,nan,nan,nan,Update Required
Appa,WOCOMPANY_038,SDPLDEAL-101,Proof of Concept,nan,Not Started,nan,2025-07-31 00:00:00,Purchase Order,2025-08-11 00:00:00,2025-08-15 00:00:00,OWNER_002,Powerline,Powerline Inspection,nan,nan,nan,154150,181897,nan,0,nan,154150,181897,0,nan,nan,4,nan,4,nan,nan,nan,nan,Open,nan,nan,nan
Sakura,WOCOMPANY_002,SDPLDEAL-002,Monthly Contract,Dec,Executed until current month,2025-12-31 00:00:00,2025-05-16 00:00:00,Purchase Order,2025-05-01 00:00:00,2026-04-30 00:00:00,OWNER_003,Mining,Volumetric survey,NONE,nan,nan,2984097.3600000003,3521234.8848,23959.682484,28272.42533112,nan,2960137.677516,3492962.4594688797,28272.42533112,nan,nan,3000,nan,3000,nan,nan,nan,nan,Open,nan,nan,Partially Billed
Sakura,WOCOMPANY_002,SDPLDEAL-003,One time Project,nan,Completed,nan,2025-05-08 00:00:00,Purchase Order,2025-05-20 00:00:00,2025-05-31 00:00:00,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-15 00:00:00,SDPL/FY25-26/449,184980,218276.40000000002,184980,218276.40000000002,66880.13560000001,0,0,151396.26440000001,nan,nan,600,nan,600,Not billed yet,nan,nan,nan,Open,nan,nan,nan
SpongeBob,WOCOMPANY_032,SDPLDEAL-004,One time Project,nan,Completed,nan,2025-05-06 00:00:00,LOA/LOI,2025-05-24 00:00:00,2025-06-20 00:00:00,OWNER_003,Powerline,Powerline Inspection,NONE,nan,nan,1132250.2480000001,1336055.29264,1215157.5440800001,1433885.9020144,nan,-82907.29608,-97830.6093744,1433885.9020144,Priority,nan,59.33,nan,59.33,nan,nan,nan,nan,Open,nan,nan,BIlled
Edward Elric,WOCOMPANY_008,SDPLDEAL-005,One time Project,nan,Completed,nan,2025-05-16 00:00:00,Purchase Order,2025-05-20 00:00:00,2025-05-31 00:00:00,OWNER_003,Renewables,Hydrology,NONE,2025-07-18 00:00:00,SDPL/FY25-26/359,135652,160069.36000000002,135652,160069.36000000002,160069.36000000002,0,0,0,nan,nan,1,1,0,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Pumbaa,WOCOMPANY_047,SDPLDEAL-001,Annual Rate Contract,June,Ongoing,nan,2025-05-15 00:00:00,Purchase Order,2025-05-19 00:00:00,2025-11-19 00:00:00,OWNER_005,Renewables,Others,SPECTRA,2025-09-06 00:00:00,SDPL/FY25-26/431,3995568.0000000005,4714770.24,3662604,4321872.720000001,1405108.08,332964,392897.52,2916764.64,nan,nan,12,2,10,Partially Billed,nan,nan,nan,Open,nan,nan,nan
Sakura,WOCOMPANY_002,SDPLDEAL-006,Monthly Contract,November,Executed until current month,nan,2025-05-21 00:00:00,Purchase Order,2025-05-01 00:00:00,2026-04-30 00:00:00,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-06-16 00:00:00,SDPL/FY25-26/064,727588,858553.8400000001,151417.191804,178672.28632872002,178672.182,576170.808196,679881.5536712802,0.10432872,nan,nan,1600,nan,1600,Partially Billed,nan,nan,nan,Open,nan,nan,nan
Sakura,WOCOMPANY_002,SDPLDEAL-007,Monthly Contract,Dec,Executed until current month,nan,2025-05-22 00:00:00,Purchase Order,2025-05-20 00:00:00,2026-04-30 00:00:00,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-06 00:00:00,SDPL/FY25-26/435,2293752,2706627.3600000003,1742808.4435720001,2056513.9634149598,1225606.681988,550943.556428,650113.39658504,830907.2814269599,nan,nan,4800,nan,4800,Partially Billed,nan,nan,nan,Open,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-008,One time Project,nan,Completed,2025-05-28 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-20 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-23 00:00:00,SDPL/FY25-26/365,126649.64000000001,149446.57520000002,81360.37000000001,96005.2366,nan,45289.270000000004,53441.3386,96005.2366,nan,447.170583,460,nan,460,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-009,One time Project,nan,Completed,2025-05-30 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-15 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/385,1198053.8,1413703.4840000002,680159.917248,802588.70235264,397840.85152799997,517893.882752,611114.78164736,404747.85082464,nan,2424.42,2500,nan,2500,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-010,One time Project,nan,Completed,2025-06-10 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-14 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27 00:00:00,SDPL/FY25-26/096,112652.82,132930.32760000002,112652.82,132930.32760000002,nan,0,0,132930.32760000002,nan,629.83,630,nan,630,Fully Billed,nan,June,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-011,One time Project,nan,Completed,2025-05-20 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-10 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/382,643730.4,759601.8720000001,593662.48,700521.7264,641154.9234600001,50067.920000000006,59080.1456,59366.80294,nan,3319.81,3600,nan,3600,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-012,One time Project,nan,Completed,2025-06-17 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-14 00:00:00,2025-06-16 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-23 00:00:00,SDPL/FY25-26/366,770750,909485,380158.564,448587.10552,371722.89639600005,390591.43600000005,460897.8944800001,76864.20912399988,nan,2125.654959,2500,nan,2500,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-013,One time Project,nan,Completed,2025-05-13 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-15 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/383,214576.80000000002,253200.624,172555.51,203615.5018,186359.876808,42021.29,49585.122200000005,17255.624992,nan,964.831248,1200,nan,1200,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-014,One time Project,nan,Completed,2025-05-30 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-09 00:00:00,2025-06-20 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-24 00:00:00,SDPL/FY25-26/475,250339.6,295400.728,177469.31872,209413.79608960001,191666.41040000002,72870.28128000001,85986.93191040002,17747.3856896,nan,922.484,1400,nan,1400,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-015,One time Project,nan,Completed,2025-05-03 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-22 00:00:00,2025-06-20 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/384,109791.796,129554.31928,109791.796,129554.31928,118573.90648,0,0,10980.4128,nan,613.57,614,nan,614,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-016,One time Project,nan,Completed,2025-05-06 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-25 00:00:00,2025-06-13 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-08 00:00:00,SDPL/FY25-26/437,210799.50840000002,248743.419912,210799.50840000002,248743.419912,189719.471236,0,0,59023.94867600001,Priority,1213.9,1178.88,nan,1178.88,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-017,One time Project,nan,Completed,2025-05-13 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-25 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-10 00:00:00,SDPL/FY25-26/133,62584.9,73850.182,62584.9,73850.182,67591.91397600001,0,0,6258.268024,nan,348.2,350,nan,350,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-018,One time Project,nan,Completed,2025-05-06 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-28 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-29 00:00:00,SDPL/FY25-26/099,260360.58320000002,307225.488176,260353.184,307216.75712,281181.83334400004,7.3992,8.731056,26034.923776000003,nan,1437.2,1456,nan,1456,Fully Billed,nan,July,nan,Closed,nan,nan,nan
